ID,Performance Index,Previous Scores (out of 10),Sample Question Papers Practiced,Hours Studied,Hours Prepared for Exams,Hours Free time,Sleep Hours,Hours Not Sleep,Extracurricular Activities,Has a car,Sex,Height,Weight,BMI,Eye color,Nails length,Favorite Subject,Least Favorite Subject
1,32.0,6,0,1,1,15,4,20,No,No,f,1.723207274671625,72.3048223563877,24.34962205771857,brown,0.0018668100750571,Art,Machine Learning
2,95.0,9,3,9,4,5,8,16,No,No,m,1.6732780485388512,73.32117701689153,26.187449373680487,blue,0.0017109113031064,History,Machine Learning
3,58.0,6,3,8,3,9,5,19,No,Yes,f,1.5920174524700703,57.102095077626,22.529751112100342,gray,0.0075929913254002,,History
4,44.0,5,3,7,3,8,4,20,No,No,f,1.643083337048236,77.07485539852806,28.54917323367736,brown,0.0097904382568232,Algebra,Biology
5,61.0,5,3,8,3,6,8,16,No,No,f,1.7171391995137797,52.90817310102976,17.943690122566238,green,0.0093262116502153,Biology,Art
6,33.0,4,4,3,2,7,7,17,No,No,m,1.6287415157095937,63.19764589907077,23.823006449373636,brown,0.0008176373877589,Art,Drama
7,65.0,8,6,2,1,12,6,18,Yes,Yes,m,1.7314921318704044,67.35165384796436,22.465041213801108,hazel,0.0098196708925841,Algebra,PE
8,52.0,6,8,3,2,10,9,15,No,No,f,1.453333587109383,72.42076947269734,34.28723895446353,gray,0.0086146800327219,Art,Drama
9,84.0,10,1,6,3,12,5,19,No,,m,1.7444664457122148,56.145376189607305,18.44967649274257,gray,0.0001727932821404,Drama,Art
10,70.0,9,2,6,3,6,5,19,No,No,m,1.693786851033187,74.6990438156026,26.03739481365016,gray,0.0074028911526811,,Drama
11,83.0,9,4,8,3,5,5,19,No,No,f,1.6155601713853232,60.455509369981854,23.16272275072084,gray,0.0088976487235519,History,Data Science
12,44.0,5,7,6,3,10,4,20,No,No,f,1.6366186406004164,49.014700705600696,18.2991690142155,brown,0.0084777799436765,Machine Learning,Biology
13,64.0,7,7,8,3,8,7,17,Yes,No,m,1.67981455546407,80.03344999763264,28.362784046420877,green,0.0043955499993719,Algebra,Art
14,83.0,10,9,4,2,11,4,20,No,No,f,1.5463954327237557,63.45745835297631,26.536372613316576,brown,0.0043541364008155,Machine Learning,History
15,27.0,3,5,6,3,9,8,16,No,No,m,1.681514582520941,67.62596473886946,23.917302574409497,brown,0.0004526448617783,Drama,Biology
16,65.0,7,9,6,3,8,6,18,Yes,,m,1.672623948496657,71.629860174692,25.6033906146069,brown,0.003617690285968,Drama,Data Science
17,46.0,6,7,4,2,11,6,18,Yes,No,m,1.679546690835208,55.26017891094166,19.58971525968752,,0.0033347128520278,Algebra,Biology
18,72.0,8,5,7,3,7,7,17,No,No,m,1.6800647480514177,94.57364510222874,33.505653235265804,gray,0.0077692476102888,,Art
19,69.0,9,0,4,2,10,5,19,Yes,No,f,1.688019071851731,51.55674458636776,18.093841803358394,gray,0.0078401541067015,,History
20,67.0,9,7,1,1,10,8,16,Yes,,f,1.574751689434469,79.23035246411727,31.949746895348508,gray,0.0078491493970047,Drama,
21,43.0,4,9,9,4,4,9,15,No,No,f,1.537149880083379,83.7201633944315,35.43216063635551,green,0.0035073709434274,Art,History
22,50.0,6,8,9,4,5,7,17,Yes,No,f,1.6224411898471018,79.38852543279776,30.1591993858764,brown,0.0042609408555179,,Data Science
23,55.0,9,9,1,1,11,4,20,No,No,f,1.5581707322326517,60.29989528873122,24.8362757400279,brown,0.0083502821554591,Biology,Drama
24,35.0,4,1,4,2,11,5,19,Yes,No,f,1.5742570910148348,63.42425830683479,25.591991381749267,hazel,0.0019311683586924,History,PE
25,46.0,7,9,2,1,12,7,17,Yes,No,m,1.684868061931276,62.66628912600126,22.0750747160613,brown,0.0054250521217164,Music,Biology
26,37.0,3,9,7,3,7,9,15,No,No,f,1.501919977714818,81.84653790267497,36.28329546440181,brown,0.0039506697793993,Art,Drama
27,38.0,5,8,6,3,5,8,16,Yes,No,m,1.674234338723481,80.5169820249915,28.724666681447424,brown,0.0058389999281264,Drama,PE
28,82.0,9,3,6,3,10,7,17,No,Yes,f,1.5622033090650254,64.76304058864476,26.537018283050354,brown,0.0002631091322567,PE,
29,65.0,7,2,4,2,8,6,18,Yes,No,m,1.601666998233445,74.41149624176492,29.006516967151715,brown,0.0029029011269416,Data Science,Drama
30,36.0,6,1,2,1,11,6,18,No,No,f,1.506276107023328,69.53882076293735,30.649129712756235,,0.0021164420689436,History,Biology
31,53.0,7,9,2,1,12,6,18,Yes,,m,1.7778038104041043,78.18765641478983,24.73833865277066,brown,0.0004437472473708,Drama,Machine Learning
32,70.0,9,5,4,2,8,5,19,No,No,f,1.5499664876268344,64.29742880145282,26.7638748080627,brown,0.0033188739950696,History,Biology
33,79.0,10,4,3,2,14,6,18,No,No,m,1.641749487362289,76.4246861338521,28.35436235353417,brown,0.006918838036618,,History
34,61.0,6,8,7,3,6,9,15,No,Yes,m,1.738490956409359,75.45481513375115,24.96560458700318,,0.0056907326057297,PE,Algebra
35,68.0,8,4,6,3,9,8,16,Yes,No,m,1.720655430445561,58.36771074408768,19.71445797269632,brown,0.0087282265504252,Music,PE
36,60.0,7,0,3,2,14,6,18,No,No,m,1.6751550575053205,59.14906562410358,21.07841072557634,gray,0.0073755524745017,Algebra,History
37,27.0,4,1,5,2,11,5,19,Yes,No,m,1.6769418356625312,85.2440481463112,30.312940480584764,brown,0.0075222866885955,Algebra,Art
38,63.0,7,6,2,1,10,4,20,Yes,No,f,1.6363764569494834,74.40289058911065,27.785829300642774,brown,0.008528679489587,Drama,Biology
39,52.0,5,0,8,3,6,9,15,No,No,m,1.7224634389520472,66.8437936840646,22.529993447077132,brown,0.0028892795627502,Art,History
40,40.0,4,9,7,3,7,9,15,Yes,No,m,1.7436655500961775,76.6071293649718,25.19665063414748,green,0.0023254868783732,PE,History
41,65.0,9,7,2,1,14,4,20,Yes,No,m,1.7383024973475705,78.94447848022497,26.125887466728667,gray,0.0091093998983424,,Art
42,37.0,5,3,4,2,8,7,17,Yes,No,m,1.7044312255985965,60.77902583024341,20.921594044401854,,0.0034573035919566,PE,History
43,79.0,9,1,4,2,9,4,20,Yes,No,m,1.728435673267826,61.69458070872426,20.650975653991296,brown,0.005171055862499,Data Science,Biology
